Date,Residental Total,Small General,Medium General,Large General,Specific Business,Government_and_NGO,Agriculture Pumping,Temporary,Free of Charge,Direct Customer,Grand total
2002-1,1524,693,1415,2958,236,246,19,29,78,128,7327
2002-2,1597,719,1406,2797,238,260,26,31,74,135,7359
2002-3,1842,816,1664,3199,277,301,24,31,76,155,8471
2002-4,2049,863,1574,3014,290,287,23,34,86,154,8461
2002-5,1990,884,1670,3230,278,306,15,34,77,149,8730
2002-6,1919,855,1644,3206,264,332,14,34,76,164,8604
2002-7,1943,852,1682,3302,277,342,23,33,78,160,8793
2002-8,1882,830,1639,3313,275,323,17,35,80,164,8650
2002-9,1806,811,1606,3264,254,319,5,34,81,161,8428
2002-10,1845,816,1622,3323,273,313,14,34,83,159,8629
2002-11,1784,792,1565,3241,253,309,3,36,84,151,8369
2002-12,1782,817,1585,3108,256,299,9,34,87,148,8270
2003-1,1687,758,1499,3200,253,261,20,34,88,168,8115
2003-2,1647,759,1472,3085,255,268,26,33,84,133,7906
2003-3,1961,877,1730,3521,286,304,25,37,88,153,9154
2003-4,2142,903,1568,3243,283,296,22,35,88,139,8860
2003-5,2188,945,1747,3518,277,312,20,38,89,149,9437
2003-6,2046,912,1710,3454,262,334,16,36,90,147,9146
2003-7,1982,902,1705,3467,270,350,18,34,90,140,9089
2003-8,2052,872,1749,3618,282,344,20,37,88,150,9344
2003-9,1917,853,1716,3444,259,330,10,36,88,145,8941
2003-10,2011,896,1748,3630,273,326,14,38,96,151,9320
2003-11,1939,866,1748,3559,277,335,18,36,95,151,9151
2003-12,1756,800,1616,3402,251,241,19,39,99,165,8526
2004-1,1755,795,1562,3447,272,274,28,35,99,144,8570
2004-2,1715,791,1537,3634,257,280,25,38,98,155,8674
2004-3,2094,931,1745,3965,298,315,33,41,100,159,9833
2004-4,2355,984,1640,3660,318,320,29,41,99,138,9731
2004-5,2298,990,1819,3976,306,326,16,43,99,155,10171
2004-6,2089,934,1681,3873,274,346,10,41,98,164,9657
2004-7,2131,949,1784,3998,301,341,21,43,99,173,10001
2004-8,2095,932,1724,3990,300,340,8,41,99,159,9823
2004-9,2085,942,1670,4033,280,348,11,45,99,162,9806
2004-10,2092,961,1701,4155,294,322,24,43,99,165,10043
2004-11,2063,959,1672,3968,292,320,23,44,98,127,9732
2004-12,1767,866,1572,3801,267,282,22,40,98,160,9061
2005-1,1758,855,1530,3892,257,271,29,40,109,154,9092
2005-2,1925,920,1570,3791,279,304,33,45,97,152,9280
2005-3,2129,1003,1813,4383,297,327,36,46,103,179,10514
2005-4,2354,1044,1671,3944,324,306,24,45,105,165,10145
2005-5,2495,1120,1865,4347,317,346,22,48,104,162,11014
2005-6,2281,1063,1833,4225,303,361,17,47,104,173,10582
2005-7,2189,1022,1788,4164,305,341,19,46,103,172,10324
2005-8,2143,1004,1781,4185,310,334,18,47,104,163,10259
2005-9,2138,1001,1781,4143,294,360,10,48,105,154,10215
2005-10,2176,1010,1803,4275,298,315,13,49,110,157,10386
2005-11,2036,960,1765,4146,290,308,11,47,108,167,10013
2005-12,1857,891,1661,3935,269,276,15,46,110,159,9415
2006-1,1888,907,1649,3958,293,274,28,46,116,171,9517
2006-2,1958,946,1678,3938,291,289,33,49,111,157,9652
2006-3,2321,1083,1987,4539,344,342,35,51,118,153,11184
2006-4,2446,1081,1759,4061,332,310,28,49,116,171,10555
2006-5,2403,1100,1933,4536,328,318,18,50,115,181,11191
2006-6,2314,1073,1909,4437,315,353,15,50,210,187,11043
2006-7,2300,1074,1907,4490,329,357,19,51,117,175,11007
2006-8,2286,1079,1925,4495,327,354,20,51,119,177,11015
2006-9,2273,1067,1893,4432,305,377,11,52,120,157,10867
2006-10,2252,1058,1872,4493,313,342,5,54,126,163,10844
2006-11,2252,1071,1896,4409,320,338,10,53,133,154,10805
2006-12,2153,1019,1799,4030,307,325,18,55,136,167,10200
2007-1,1912,939,1745,4229,305,290,32,49,134,172,9974
2007-2,1955,956,1707,4057,296,297,37,50,127,155,9794
2007-3,2486,1157,2059,4704,368,359,38,55,132,175,11729
2007-4,2557,1145,1866,4185,357,333,33,54,132,190,11034
2007-5,2491,1148,1965,4689,340,343,13,53,129,176,11516
2007-6,2552,1186,2008,4613,344,400,16,55,127,161,11626
2007-7,2403,1136,1909,4691,342,393,28,54,131,180,11456
2007-8,2440,1140,1915,4737,351,380,22,55,134,186,11546
2007-9,2402,1136,1905,4664,336,410,11,56,137,166,11395
